id,obpp_situr_code,description,category_id/id,subcategory_id/id
__export__.sinco_project_46046,08-14-05-001-0023,"limpieza de pozo instalación de bomba de agua 7.5 hp 230 Voltios trifasico con salida 2 pulgadas, colocar empalme vulcanizado, hacer rosca nueva en tubería, re instalación y acometida eléctrica desde el banco de transformadores",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_pozpro
__export__.sinco_project_46047,09-02-01-046-0001,"DEFICIENCIA Y AVERÍAS EN EN EL SISTEMA ELÉCTRICO DEL ALUMBRADO DE LA COMUNIDAD ESTANCIA TAGUANES DONDE DE COMPRARA 02 TRANSFORMADORES DE 37,5 KVA, 95 LAMPARAS  LED Y  BRAZOS, 20 FOTO SELDA",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46048,09-08-02-017-0000,ESTE PROYECTO CONSTA DE LA REHABILITACION FISICA  DE LA VIA AGRICOLA DE LA COMUNIDAD LAS TUCURAGUAS MUNICIPIO EZEQUIEL ZAMORA EESTADO COJEDES PRIMERA ETAPA,sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_careng
__export__.sinco_project_46049,11-14-04-001-0015,"el presente proyectos es apoyar a la granja San Francisco en  recuperación de la producción de huevos para consumo humano de gallinas ponedera ya que fortalece la alimentación soberana de nuestro pueblo, la granja posee las instalaciones como gallinero  lo cual falta es la adquisición de las gallinas y suministro de alimento para los primero meses de las aves.",sinco_project_category.sinco_project_cat_sis,sinco_project_category.sinco_project_subcat_granave
__export__.sinco_project_46051,09-06-01-P69-0000,"ESTE PROYECTO CONSTA DE LA REPARACION, MANTENIMIENTO DEL ALUMBRADO PUBLICO EN LA COMUNIDAD CAÑO HONDO CENTRO 1 MUNIUCIPIO RICAURTE ESTADO COJEDES BENEFICIANDO A 346 FAMILIAS",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46054,09-07-0004,"CONSISTE EN LA ADQUISICION Y COLOCACION DE MATERIALES ELECTRICOS EN ALTA Y BAJA TENSION, CON LA SUSTITUCION Y COLOCACION DE SUS POSTES, TRANSFORMADORES, PARARRAYOS, CORTARRIENTE, ARVIDAL, CRUCETAS, PERCHAS, CONEXIONES Y HERRAJES. TOMANDO EN CUENTA EL REPLANTEO EN LAS CALLES Y EL ARRANQUE DE INSTALACION INICIAL.",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_redurb
__export__.sinco_project_46056,09-09-01-001-0000,"Se trata de instalar un conjunto de sistemas y operaciones unitarias de tipo físico, químico o biológico cuya finalidad es que a través de los equipamientos elimina o reduce la contaminación o las características no deseables de las aguas provenientes del río Tinaco, se prevé instalar un sedimentador básico, un dosificador de cloro y los filtros elementales",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_reddis
__export__.sinco_project_46057,09-07-01-V97-0000,"ESTE PROYECTO CONSISTE EN LA CONFORMACIÓN DE CADA UNA DE LAS CALLES DEL SECTOR, DONDE SE TIENE PREVISTO LA COLOCACIÓN DE MATERIAL GRANULAR (GRANZÓN) PARA REALIZAR BACHEO DE HUECOS Y PASOS QUE SE ENCUENTRAN DAÑADOS. EL MISMO SE LLEVARÁ A CABO CON EQUIPO DE MOVIMIENTO DE TIERRA Y HERRAMIENTAS MENORES.",sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_careng
__export__.sinco_project_46059,CC-URB-2014-05-00127,"CONTEMPLA REPARACIÓN DE TRAMOS DAÑADOS Y LA CONTINUIDAD DE LOS TRAMO DE AGUAS SERVIDAS EN TUBERÍA PVC 8, PULGADAS INCLUYENDO, BOCAS DE VISITA, ACOMETIDAS A LA VIVIENDA CON TUBERÍA PVC Y CACHIMBO. ",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_46060,12-11-01-001-0003,"El presente Proyecto tiene como finalidad la compra de Tanques de almacenamiento de agua potable con el objetivo beneficiar las familias mas vulnerables de nuestra comunidad Tia Rafaela , ya que tenemos una problemática con el bombeo de agua potable los habitantes de nuestro sector rural están en la necesidad de poseer donde almacenar el vital liquido ",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_tan
__export__.sinco_project_46063,09-02-01-001-0051,"SE REALIZARA SUSTITUCION DE TENDIDO ELECTRICO DE RED EN BAJA TENSION LOGRANDO LA REABILITACION DE 15 POSTES CON LUMINARIA DE EQUIPO DE SODIO, ESTE PROYECTO BENEFICIARA A TODO LA COMUNIDAD Y CONTRIBUIRA CON LA SEGURIDAD SOCIAL ",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46064,CC-RUR-2014-11-00073,"PROCURA DE 43 TANQUES DE ALMACENAMIENTO DE AGUA TIPO CÓNICO DE CAPACIDAD DE 1500 LTS, PARA BENEFICIO DE LAS FAMILIAS PERTENECIENTES AL CONSEJO COMUNAL BRISAS DE PAZ",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_tan
__export__.sinco_project_46065,09-07-01-001-0030,"EL PROYECTO CONSISTE EN MEJORAR EL SISTEMA ELECTRICO DE LA COMUNIDAD, DONDE SE TIENE PREVISTO SUSTITUIR BOMBILLOS DAÑADO Y REPARAR LOS POSTES DE BAJA Y ALTA TENSION EN CADA UNA DE LAS CALLES DEL SECTOR, CON LA APLICACIÓN DE PINTURA Y TENSAR LAS LINEAS DE BAJA Y ALTA TENSION",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_sust_bomb_pub
__export__.sinco_project_46066,09-02-01-001-0089,Sustitución de equipo de alumbrado publico ( reflectores de áreas externas) la cual permitirá afianzar la seguridad social,sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46067,01-01-09-001-0048,"SE PLANTEA PINTAR 5000 MTS DE LA FACHADA DEL EDF POTOSI SIENDO ESTO CUBIERTO CON LA CANTIDAD DE 80 CUÑETES DE PINTURA DE 5 GALONE,  YA QUE LA MISMA NO HA SIDO PINTADA EN SU TOTALIDAD Y AL MISMO TIEMPO ENMARCAR EL PROYECTO EN EL PLAN DE EMBELLECIMIENTO DE LA CIUDAD DE CARACAS EN ARAS DE APOYAR A LA GRAN MISION VENEZUELA BELLA ",sinco_project_category.sinco_project_cat_viv,sinco_project_category.sinco_project_subcat_reh
__export__.sinco_project_46068,CC-URB-2017-05-00015,"EL PROYECTO CONSTA DE LA PERFORACIÓN DE POZO PROFUNDO PARA EL SUMINISTRO DE AGUA POTABLE, EN EL URBANISMO NEC COMANDANTE FIDEL CASTRO, MUNICIPIO EZEQUIEL ZAMORA, ESTADO COJEDES. (PRIMERA ETAPA) CON EL CUAL BENEFICIARA 256 FAMILIAS INTEGRADA POR UNA POBLACION DE 1287",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_pozpro
